,County,2015 Q1 Profits,2015 Q234 Profits,2015 Growth%,2016 Q1 Profits,2016 Q234 Forcast,Forcasted Growth%,Growth Delta%
78,Hardin,137941.73,471376.2,241.72,134752.23,438920.49,225.72,-6.62
79,Sac,37727.48,145305.06,285.14,41573.16,148571.95,257.37,-9.74
80,Webster,240961.5,856732.3,255.55,270127.62,889825.39,229.41,-10.23
81,Poweshiek,92728.13,358353.17,286.46,100979.92,360615.48,257.12,-10.24
82,Wapello,193483.66,724196.72,274.29,201008.21,681269.44,238.93,-12.89
83,Winneshiek,89985.86,339459.76,277.24,97911.44,334093.77,241.22,-12.99
84,Emmet,40730.06,155231.42,281.12,43521.5,149976.52,244.6,-12.99
85,Carroll,161453.17,622374.4,285.48,175647.95,611981.4,248.41,-12.99
86,O'Brien,93143.25,333124.9,257.65,86580.03,279961.03,223.36,-13.31
87,Winnebago,51475.75,191473.23,271.97,56434.09,189282.38,235.4,-13.45
88,Clinton,244835.14,891640.43,264.18,249242.5,804860.27,222.92,-15.62
89,Fayette,85238.9,292076.76,242.66,107616.08,326136.01,203.06,-16.32
90,Marion,132404.45,527506.58,298.41,150903.01,526450.25,248.87,-16.6
91,Boone,124589.97,462619.44,271.31,138474.26,449980.77,224.96,-17.08
92,Lucas,25675.7,113283.8,341.21,33868.5,127645.75,276.89,-18.85
93,Ida,33403.43,149592.62,347.84,45988.12,174832.86,280.17,-19.45
94,Cerro Gordo,397814.89,1526233.4,283.65,427120.6,1347726.66,215.54,-24.01
95,Allamakee,52241.62,223758.64,328.31,59832.68,203295.57,239.77,-26.97
96,Appanoose,50906.19,228425.45,348.72,59035.98,206038.6,249.01,-28.59
97,Dallas,304256.39,1555024.53,411.09,344405.03,1344440.48,290.37,-29.37
98,Dickinson,220758.16,1105434.96,400.74,218457.85,726626.37,232.62,-41.95
